text	label
I love programming in Python every day	positive
Python is great for machine learning projects	positive
Machine learning and deep learning are exciting	positive
I enjoy coding artificial intelligence applications	positive
Data science requires good programming skills	positive
Python programming is fun and very powerful	positive
Deep learning models need lots of data	positive
Artificial intelligence will change the world	positive
I hate debugging code late at night	negative
Machine learning can be really frustrating sometimes	negative
